rouge1_f,rouge2_f,rougeL_f,latency_sec,compression_ratio,repetition_rate,top_k
0.5862068965517241,0.17543859649122806,0.3275862068965517,0.0003493999975034967,0.10222672064777327,0.04761904761904767,2
0.5681818181818181,0.13953488372093023,0.34090909090909094,0.000262100002146326,0.08156498673740054,0.0,2
0.5338078291814947,0.22939068100358423,0.2775800711743773,0.0004873000143561512,0.2143379663496708,0.0431034482758621,2
0.49541284403669716,0.05607476635514019,0.23853211009174313,0.0006626999966101721,0.028215556685307574,0.0,2
0.3777777777777777,0.04545454545454545,0.2,0.00019079999765381217,0.08878504672897196,0.0,2
0.524822695035461,0.08633093525179857,0.29787234042553196,0.00021729999571107328,0.23165704863973618,0.0,2
0.6239316239316239,0.2672413793103448,0.3247863247863248,0.0003665000112960115,0.21556603773584906,0.012499999999999956,2
0.46616541353383456,0.10687022900763359,0.2857142857142857,0.0004177000082563609,0.0773067331670823,0.0,2
0.4675324675324676,0.3842794759825327,0.4329004329004329,0.0003667999990284443,0.4539363484087102,0.009345794392523366,2
0.40350877192982454,0.07142857142857141,0.21052631578947367,0.00045229999523144215,0.041512535963830664,0.0,2
0.5165562913907285,0.10738255033557047,0.23841059602649006,0.0003662999952211976,0.13237113402061856,0.0,2
0.5490196078431373,0.11999999999999998,0.2549019607843137,0.0003178000042680651,0.10695187165775401,0.0,2
0.43410852713178294,0.12598425196850394,0.26356589147286824,0.0003206999972462654,0.11168384879725086,0.0,2
0.3780487804878049,0.06172839506172839,0.2073170731707317,0.0003956000000471249,0.15556492411467115,0.0,2
0.5882352941176471,0.20512820512820512,0.3025210084033613,0.0004219999973429367,0.0925589836660617,0.0,2
0.6153846153846154,0.31460674157303375,0.37362637362637363,0.00023770000552758574,0.14069456812110417,0.0,2
0.5425531914893618,0.08602150537634408,0.2127659574468085,0.00038749999657738954,0.15126382306477093,0.014705882352941124,2
0.37681159420289856,0.08955223880597013,0.2318840579710145,0.00026539999817032367,0.05642167780252413,0.0,2
0.5925925925925927,0.02531645569620253,0.29629629629629634,0.0003310999891255051,0.08060109289617487,0.0,2
0.6555555555555556,0.4044943820224719,0.4111111111111111,0.00019449999672360718,0.36113837095191365,0.015873015873015928,2
0.3287671232876712,0.02816901408450704,0.19178082191780824,0.00014459999511018395,0.10428571428571429,0.0,2
0.5203252032520326,0.1322314049586777,0.22764227642276422,0.0006689000001642853,0.04398260028999516,0.0,2
