rouge1_f,rouge2_f,rougeL_f,compression_ratio,repetition_rate,guid,top_k,article_char_len,reference_char_len,engine,summarizer_core_latency_sec
0.5714285714285714,0.14545454545454545,0.30357142857142855,0.029197080291970802,0.0,19143,2,4521,201,tfidf,0.0007393000050797127
0.45112781954887216,0.07633587786259542,0.30075187969924805,0.04589308996088657,0.0,6647,2,3835,253,tfidf,0.0006327000010060146
0.39999999999999997,0.06896551724137932,0.19999999999999998,0.01837806301050175,0.0,8968,2,3428,131,tfidf,0.000527600001078099
0.4895104895104894,0.22695035460992907,0.22377622377622378,0.19396847155586017,0.0,17743,2,1459,138,tfidf,0.00031099999614525586
0.576923076923077,0.15584415584415584,0.358974358974359,0.0609284332688588,0.0,19795,2,4136,198,tfidf,0.0006408999979612418
0.4558823529411765,0.1492537313432836,0.26470588235294124,0.04527005931938807,0.0,1553,2,3203,290,tfidf,0.0005699999965145253
0.0,0.0,0.0,0.007569204152249135,0.0,10768,2,4624,131,tfidf,0.0010603999980958179
0.5714285714285713,0.09677419354838711,0.2698412698412698,0.058161953727506426,0.0,16298,2,3112,199,tfidf,0.000530699995579198
0.5157232704402516,0.16560509554140126,0.2767295597484277,0.2600896860986547,0.0,6918,2,1338,162,tfidf,0.00022310000349534675
0.5245901639344261,0.4309392265193369,0.3387978142076503,0.07298166004915863,0.030303030303030276,17452,2,5289,168,tfidf,0.0007762999957776628
0.40476190476190477,0.024390243902439025,0.2380952380952381,0.10573770491803279,0.0,8494,2,1220,115,tfidf,0.00024159999884432182
0.49411764705882355,0.14285714285714288,0.2705882352941177,0.20818713450292398,0.04477611940298509,21990,2,1710,170,tfidf,0.0002550999997765757
0.45,0.05084745762711864,0.2833333333333333,0.0345514950166113,0.0,302,2,4515,196,tfidf,0.0007140000016079284
0.5064935064935064,0.2105263157894737,0.2987012987012987,0.10437051532941943,0.0,13373,2,3066,172,tfidf,0.0004737999988719821
0.5,0.18309859154929578,0.25,0.2408,0.0,7678,2,1250,132,tfidf,0.0002345000029890798
0.4528301886792453,0.1730769230769231,0.2830188679245283,0.10014584346135148,0.0,10397,2,2057,131,tfidf,0.0003333999993628822
0.40909090909090906,0.023255813953488375,0.2727272727272727,0.07049608355091384,0.0,10754,2,1532,144,tfidf,0.00026699999580159783
0.5153374233128833,0.09937888198757765,0.2576687116564417,0.15274463007159905,0.016949152542372836,19065,2,2095,192,tfidf,0.0003308000013930723
0.5628742514970061,0.1212121212121212,0.2754491017964072,0.2028985507246377,0.016393442622950838,3451,2,1518,181,tfidf,0.00032360000477638096
0.3670886075949367,0.15384615384615385,0.24050632911392403,0.26009316770186336,0.04477611940298509,21313,2,1288,113,tfidf,0.00020339999900897965
0.35000000000000003,0.05128205128205128,0.19999999999999998,0.043351548269581056,0.0,11696,2,2745,139,tfidf,0.0004673000003094785
0.6077348066298343,0.2569832402234637,0.2983425414364641,0.06069416681809922,0.0,2662,2,5503,188,tfidf,0.0008431999958702363
0.5362318840579711,0.11764705882352941,0.2608695652173913,0.07387326330057607,0.0,21291,2,2951,211,tfidf,0.0004713000016636215
0.4329896907216495,0.021052631578947368,0.268041237113402,0.03242176487172258,0.0,21220,2,3547,168,tfidf,0.00054929999896558
0.4393939393939394,0.12307692307692308,0.24242424242424243,0.07153414129470884,0.0,2407,2,3383,142,tfidf,0.0005740999986301176
0.49599999999999994,0.13008130081300812,0.224,0.14491916859122403,0.0,11742,2,1732,121,tfidf,0.00034530000266386196
0.5874125874125875,0.2978723404255319,0.43356643356643354,0.12609075043630016,0.0,6014,2,2292,148,tfidf,0.00036759999784408137
0.5868263473053892,0.20606060606060606,0.2754491017964072,0.09286382050483016,0.0,15246,2,3209,187,tfidf,0.0004896000027656555
0.488,0.16935483870967744,0.272,0.230837394771821,0.025000000000000022,3333,2,2257,220,tfidf,0.00037059999885968864
0.6233766233766234,0.09210526315789473,0.28571428571428575,0.09831345125462773,0.0,19441,2,2431,204,tfidf,0.0004033999939565547
0.48,0.17341040462427745,0.25142857142857145,0.19005847953216373,0.052631578947368474,15704,2,2052,178,tfidf,0.00032730000384617597
0.44999999999999996,0.06779661016949151,0.25,0.11145272867025365,0.0,7989,2,2602,113,tfidf,0.00044499999785330147
0.453125,0.12698412698412698,0.26562499999999994,0.14567430025445294,0.0,16012,2,1572,172,tfidf,0.00029659999563591555
0.5824175824175823,0.1,0.25274725274725274,0.300163132137031,0.0,17494,2,1226,185,tfidf,0.00023330000112764537
0.5323741007194244,0.18978102189781024,0.2589928057553957,0.10276127228241873,0.0,19618,2,2861,158,tfidf,0.0005473999990499578
0.537142857142857,0.17341040462427745,0.2628571428571429,0.07771875873637125,0.0,7408,2,3577,241,tfidf,0.0006021000008331612
0.47852760736196326,0.17391304347826086,0.3067484662576687,0.1845996940336563,0.0,9297,2,1961,103,tfidf,0.00033059999987017363
0.39490445859872614,0.1935483870967742,0.22929936305732482,0.21786120591581343,0.0,11577,2,1758,130,tfidf,0.0003757999947993085
0.208955223880597,0.0,0.11940298507462686,0.02289156626506024,0.0,16686,2,2490,165,tfidf,0.00037290000182110816
0.3896103896103896,0.10666666666666667,0.25974025974025977,0.03076366268548679,0.0,17856,2,2763,167,tfidf,0.0004642999992938712
0.4565217391304347,0.1111111111111111,0.23913043478260868,0.040161543639219206,0.0,1486,2,4457,94,tfidf,0.0007416000007651746
0.47058823529411764,0.2,0.23529411764705882,0.06788277511961723,0.0,18826,2,3344,90,tfidf,0.0005396999986260198
0.5438596491228069,0.10714285714285714,0.28070175438596495,0.08116504854368932,0.02777777777777779,9142,2,2575,130,tfidf,0.000548999996681232
0.48076923076923084,0.2038834951456311,0.2596153846153846,0.3261032161555722,0.013698630136986356,17476,2,1337,174,tfidf,0.00025289999757660553
0.5616438356164384,0.16666666666666666,0.2876712328767123,0.1598317560462671,0.0625,16307,2,1902,148,tfidf,0.0003276999996160157
0.4905660377358491,0.1656050955414013,0.23899371069182387,0.14828209764918626,0.0,10212,2,2212,138,tfidf,0.0004259999986970797
0.5477707006369426,0.19354838709677416,0.2929936305732484,0.24743892828999212,0.01851851851851849,5436,2,1269,168,tfidf,0.00022680000256514177
0.4793388429752066,0.13445378151260506,0.23140495867768593,0.03330855018587361,0.0,511,2,6725,128,tfidf,0.0009960999959730543
0.5,0.058823529411764705,0.3076923076923077,0.048530416951469584,0.0,17585,2,4389,137,tfidf,0.0008330000055138953
0.5054945054945055,0.1797752808988764,0.2637362637362637,0.09389671361502347,0.0,19311,2,1704,123,tfidf,0.00031039999885251746
0.5416666666666666,0.11578947368421051,0.28125,0.15821413090593844,0.0,18170,2,2307,216,tfidf,0.00034890000097220764
0.33962264150943394,0.11464968152866242,0.22641509433962265,0.022048250519252275,0.09375,13764,2,6259,308,tfidf,0.0010200999968219548
0.45238095238095233,0.0975609756097561,0.23809523809523808,0.049223946784922396,0.0,6681,2,2255,154,tfidf,0.0003974999999627471
0.46601941747572817,0.1386138613861386,0.2524271844660194,0.023512276321265086,0.0,17789,2,4806,177,tfidf,0.0007213999997475185
0.5853658536585366,0.19834710743801653,0.2601626016260163,0.09974093264248704,0.0,17033,2,1544,242,tfidf,0.0002777999980025925
0.5233644859813084,0.13333333333333333,0.24299065420560748,0.08843212237093691,0.0,1744,2,2092,141,tfidf,0.0004282999943825416
0.5537190082644627,0.20833333333333334,0.3388429752066116,0.20582793709528216,0.18279569892473113,15297,2,2162,290,tfidf,0.0006250000005820766
0.5714285714285715,0.23931623931623933,0.3025210084033613,0.056975505857294995,0.0,20805,2,3756,132,tfidf,0.0005902000048081391
0.3551401869158879,0.01904761904761905,0.22429906542056074,0.08530465949820788,0.09999999999999998,2439,2,1395,187,tfidf,0.00024649999977555126
0.175,0.02564102564102564,0.125,0.006188647033717456,0.0,16537,2,4686,219,tfidf,0.0007294000024558045
0.5660377358490566,0.26666666666666666,0.3018867924528302,0.20864756158873807,0.0,3330,2,1989,225,tfidf,0.0003026999984285794
0.52,0.12244897959183672,0.26,0.11716276124129196,0.0,12095,2,1579,121,tfidf,0.00026959999377140775
0.4666666666666667,0.10169491525423728,0.21666666666666665,0.119870908252651,0.05882352941176472,18544,2,2169,124,tfidf,0.00038020000647520646
0.6352941176470588,0.12048192771084337,0.2823529411764706,0.1186966640806827,0.03125,10814,2,1289,124,tfidf,0.00023890000011306256
0.6147540983606558,0.2066115702479339,0.30327868852459017,0.09160613397901533,0.013157894736842146,17255,2,4956,262,tfidf,0.0007428999961121008
0.41111111111111104,0.12359550561797751,0.26666666666666666,0.12585034013605442,0.0,20839,2,2940,153,tfidf,0.0004954999967594631
0.3414634146341463,0.049999999999999996,0.1951219512195122,0.0585480093676815,0.0,564,2,1281,153,tfidf,0.00025460000324528664
0.3707865168539326,0.17045454545454544,0.2247191011235955,0.32209469153515063,0.0,9455,2,1394,138,tfidf,0.00023060000239638612
0.556390977443609,0.16793893129770993,0.3609022556390978,0.18699780861943024,0.022222222222222254,5584,2,1369,177,tfidf,0.000247199997829739
0.5569620253164557,0.23376623376623376,0.32911392405063294,0.055347091932457786,0.0,21243,2,2132,107,tfidf,0.0004076999975950457
0.49635036496350365,0.13333333333333333,0.2627737226277373,0.08623693379790941,0.0,18822,2,3444,164,tfidf,0.0006270000012591481
0.5190839694656488,0.17054263565891473,0.2748091603053435,0.14594192107222637,0.0,16323,2,1343,199,tfidf,0.0002542000001994893
0.5285714285714286,0.11594202898550725,0.2857142857142857,0.1257685858021241,0.0,14310,2,1789,180,tfidf,0.0002975000024889596
0.3583815028901734,0.08187134502923976,0.20809248554913293,0.19373865698729584,0.014285714285714235,12337,2,2204,126,tfidf,0.0004368999943835661
0.448,0.09756097560975609,0.24000000000000002,0.06292134831460675,0.0,12907,2,4005,106,tfidf,0.0006685999978799373
0.5562913907284768,0.12080536912751678,0.3443708609271523,0.06380974805745232,0.0,21303,2,4247,212,tfidf,0.0007064999954309314
0.47798742138364775,0.08917197452229299,0.25157232704402516,0.15046296296296297,0.0,9511,2,2160,132,tfidf,0.0004487999976845458
0.3939393939393939,0.03125,0.18181818181818182,0.018722466960352423,0.0,3583,2,2724,166,tfidf,0.0005829000001540408
0.5945945945945946,0.08333333333333333,0.27027027027027023,0.07890365448504984,0.0,72,2,1204,132,tfidf,0.00023430000146618113
0.4134615384615385,0.1650485436893204,0.2692307692307692,0.20787850023730423,0.026666666666666616,5385,2,2107,177,tfidf,0.00034669999877223745
0.4761904761904762,0.11290322580645162,0.2380952380952381,0.16242937853107345,0.0,16946,2,1416,148,tfidf,0.0003285000057076104
0.4421052631578948,0.04301075268817204,0.23157894736842105,0.027292795504716034,0.0,15686,2,4983,154,tfidf,0.000850600001285784
0.4693877551020408,0.08333333333333334,0.30612244897959184,0.13484740951029098,0.06060606060606055,21093,2,1409,113,tfidf,0.00025460000324528664
0.48695652173913045,0.08849557522123894,0.2782608695652174,0.149063670411985,0.0,1232,2,1335,149,tfidf,0.00027209999825572595
0.5057471264367817,0.09411764705882353,0.25287356321839083,0.07703016241299304,0.0,7921,2,2155,106,tfidf,0.0003757999947993085
0.4900662251655629,0.09395973154362416,0.26490066225165565,0.03861464968152866,0.0,13439,2,5024,239,tfidf,0.0008415000047534704
0.5607476635514019,0.38095238095238093,0.4672897196261682,0.12369871402327005,0.0,9242,2,1633,135,tfidf,0.0002941999991890043
0.5346534653465346,0.12121212121212122,0.2376237623762376,0.03697996918335902,0.0,17431,2,3894,145,tfidf,0.0007274999952642247
0.4615384615384615,0.1565217391304348,0.29059829059829057,0.08307926829268293,0.025000000000000022,1986,2,2624,134,tfidf,0.0004478999981074594
0.6504065040650407,0.6446280991735538,0.6504065040650407,0.02977305850510098,0.0,14583,2,4803,246,tfidf,0.0010313000020687468
0.4915254237288135,0.06896551724137931,0.23728813559322035,0.10730478589420656,0.04878048780487809,6935,2,1985,155,tfidf,0.00035650000063469633
0.582089552238806,0.24242424242424243,0.2835820895522388,0.100040338846309,0.0,2839,2,2479,171,tfidf,0.0004932000010740012
0.4571428571428572,0.1941747572815534,0.26666666666666666,0.12981455064194009,0.0,6673,2,1402,160,tfidf,0.0002556000035838224
